feature,coefficient
cat__main_category_Art,-0.01846609838591041
cat__main_category_Comics,0.6728414591760589
cat__main_category_Crafts,-0.7807626638031926
cat__main_category_Dance,1.0826522401965775
cat__main_category_Design,-0.12341471443826711
cat__main_category_Fashion,-0.5097568564161945
cat__main_category_Film & Video,0.1141295990388527
cat__main_category_Food,-0.4605694335614112
cat__main_category_Games,0.15727498565719686
cat__main_category_Journalism,-0.620467215286134
cat__main_category_Music,0.23044290196664377
cat__main_category_Photography,-0.3188589735948635
cat__main_category_Publishing,-0.3107613102722474
cat__main_category_Technology,-0.34262655639768747
cat__main_category_Theater,0.8647044388388535
cat__currency_AUD,-0.04898316352015508
cat__currency_CAD,0.020375167800487103
cat__currency_CHF,0.05846223547506248
cat__currency_DKK,0.04044550404229054
cat__currency_EUR,-0.14525609880558735
cat__currency_GBP,0.12820666789118015
cat__currency_HKD,-0.013299995587386674
cat__currency_JPY,-0.05641500442564214
cat__currency_MXN,-0.16243171208015045
cat__currency_NOK,-0.03050122732949733
cat__currency_NZD,-0.03646995205142763
cat__currency_SEK,-0.08063910305491656
cat__currency_SGD,-0.07121902604708424
cat__currency_USD,0.03408751041113388
cat__country_AT,0.07010995517964867
cat__country_AU,-0.06892220320668146
cat__country_BE,0.09496851689116666
cat__country_CA,-0.09142592352132492
cat__country_CH,0.05846223547506248
cat__country_DE,0.05133016294773952
cat__country_DK,0.05542431312447083
cat__country_ES,-0.09830342926813916
cat__country_FR,0.280092326472986
cat__country_GB,-0.17597004799143154
cat__country_HK,-0.013299995587386674
cat__country_IE,0.05275288297119986
cat__country_IT,-0.22181867596444554
cat__country_JP,-0.05641500442564214
cat__country_LU,0.23375966833311473
cat__country_MX,-0.16243171208015045
"cat__country_N,0""",-0.2565152308646388
cat__country_NL,0.05844059728589248
cat__country_NO,-0.12620760841339357
cat__country_NZ,-0.03646995205142763
cat__country_SE,0.01792540364180678
cat__country_SG,-0.07121902604708424
cat__country_US,0.04209454981690738
cat__launch_weekday_Friday,-0.11664801819873878
cat__launch_weekday_Monday,0.00025735007718271453
cat__launch_weekday_Saturday,-0.2085494974174626
cat__launch_weekday_Sunday,-0.07959541209112836
cat__launch_weekday_Thursday,-0.041975267473124446
cat__launch_weekday_Tuesday,0.08429754162774218
cat__launch_weekday_Wednesday,-0.0014248938062780606
num__usd_goal_real,-4.047443292959407
num__goal_log,-0.4154015933281735
num__campaign_duration,-0.19149550409784208
num__launch_month,0.07159297669640366
num__launch_quarter,-0.08358396971008579
num__category_frequency,0.11737680468333431
num__country_success_rate,0.08600687962880024
